day,sr_type,n
2019-01-01,Abandoned Vehicle Complaint,11
2019-01-01,Alley Light Out Complaint,12
2019-01-01,Alley Sewer Inspection Request,1
2019-01-01,Blue Recycling Cart,6
2019-01-01,Building Violation,6
2019-01-01,Buildings - Plumbing Violation,9
2019-01-01,Cab Feedback,9
2019-01-01,Clean Vacant Lot Request,1
2019-01-01,Consumer Fraud Complaint,3
2019-01-01,Low Water Pressure Complaint,1
2019-01-01,Nuisance Animal Complaint,1
2019-01-01,Pet Wellness Check Request,2
2019-01-01,Pothole in Street Complaint,5
2019-01-01,Restaurant Complaint,4
2019-01-01,Ridesharing Complaint,2
2019-01-01,Sewer Cave-In Inspection Request,1
2019-01-01,Sewer Cleaning Inspection Request,2
2019-01-01,Sidewalk Inspection Request,22
2019-01-01,Sign Repair Request - All Other Signs,7
2019-01-01,Stray Animal Complaint,4
2019-01-01,Street Light Out Complaint,18
2019-01-01,Traffic Signal Out Complaint,1
2019-01-01,Tree Planting Request,3
2019-01-01,Tree Removal Inspection,2
2019-01-01,Tree Trim Request (NO LONGER BEING ACCEPTED),3
2019-01-01,Water Lead Test Kit Request,21
2019-01-01,Water Lead Test Visit Request,2
2019-01-01,Water On Street Complaint,7
2019-01-01,Water in Basement Complaint,1
2019-01-02,Abandoned Vehicle Complaint,11
2019-01-02,Alley Light Out Complaint,50
2019-01-02,Alley Pothole Complaint,8
2019-01-02,Bicycle Request/Complaint,3
2019-01-02,Blue Recycling Cart,47
2019-01-02,Building Violation,16
2019-01-02,Buildings - Plumbing Violation,14
2019-01-02,Business Complaints,1
2019-01-02,Cab Feedback,6
2019-01-02,Check for Leak,1
2019-01-02,City Vehicle Sticker Violation,6
2019-01-02,Consumer Fraud Complaint,4
2019-01-02,Garbage Cart Maintenance,1
2019-01-02,Inspect Public Way Request,1
2019-01-02,Missed Garbage Pick-Up Complaint,1
2019-01-02,Nuisance Animal Complaint,6
2019-01-02,Pavement Cave-In Inspection Request,1
2019-01-02,Pet Wellness Check Request,9
2019-01-02,Pothole in Street Complaint,15
2019-01-02,Recycling Pick Up,2
2019-01-02,Restaurant Complaint,6
2019-01-02,Ridesharing Complaint,1
2019-01-02,Sanitation Code Violation,1
2019-01-02,Sewer Cave-In Inspection Request,10
2019-01-02,Sewer Cleaning Inspection Request,16
2019-01-02,Sidewalk Inspection Request,52
2019-01-02,Sign Repair Request - All Other Signs,28
2019-01-02,Stray Animal Complaint,8
2019-01-02,Street Light On During Day Complaint,2
2019-01-02,Street Light Out Complaint,50
2019-01-02,Street Light Pole Door Missing Complaint,4
2019-01-02,Tobacco - General Complaint,1
2019-01-02,Traffic Signal Out Complaint,7
2019-01-02,Tree Planting Request,4
2019-01-02,Tree Removal Inspection,10
2019-01-02,Tree Trim Request (NO LONGER BEING ACCEPTED),19
2019-01-02,Vacant/Abandoned Building Complaint,1
2019-01-02,Water Lead Test Kit Request,128
2019-01-02,Water Lead Test Visit Request,31
2019-01-02,Water On Street Complaint,8
2019-01-02,Water Quality Concern,2
2019-01-02,Water in Basement Complaint,1
2019-01-03,Abandoned Vehicle Complaint,19
2019-01-03,Alley Light Out Complaint,100
2019-01-03,Alley Pothole Complaint,14
2019-01-03,Alley Sewer Inspection Request,2
2019-01-03,Blue Recycling Cart,53
2019-01-03,Building Violation,9
2019-01-03,Buildings - Plumbing Violation,10
2019-01-03,Cab Feedback,7
2019-01-03,Cable TV Complaint,1
2019-01-03,Check for Leak,1
2019-01-03,Consumer Fraud Complaint,6
2019-01-03,Graffiti Removal Request,1
2019-01-03,Inspect Public Way Request,4
2019-01-03,Low Water Pressure Complaint,1
2019-01-03,Missed Garbage Pick-Up Complaint,1
2019-01-03,No Building Permit and Construction Violation,2
2019-01-03,Nuisance Animal Complaint,2
2019-01-03,Open Fire Hydrant Complaint,1
2019-01-03,Pet Wellness Check Request,2
2019-01-03,Pothole in Street Complaint,22
2019-01-03,Public Vehicle Complaint,2
2019-01-03,Recycling Pick Up,5
2019-01-03,Restaurant Complaint,10
2019-01-03,Sewer Cave-In Inspection Request,9
2019-01-03,Sewer Cleaning Inspection Request,18
2019-01-03,Sidewalk Inspection Request,173
2019-01-03,Sign Repair Request - All Other Signs,24
2019-01-03,Stray Animal Complaint,8
2019-01-03,Street Light On During Day Complaint,7
2019-01-03,Street Light Out Complaint,57
2019-01-03,Street Light Pole Door Missing Complaint,2
2019-01-03,Traffic Signal Out Complaint,6
2019-01-03,Tree Debris Clean-Up Request,1
2019-01-03,Tree Planting Request,7
2019-01-03,Tree Removal Inspection,23
2019-01-03,Tree Trim Request (NO LONGER BEING ACCEPTED),34
2019-01-03,Vacant/Abandoned Building Complaint,3
2019-01-03,Viaduct Light Out Complaint,1
2019-01-03,Water Lead Test Kit Request,106
2019-01-03,Water Lead Test Visit Request,34
2019-01-03,Water On Street Complaint,2
2019-01-03,Water Quality Concern,3
2019-01-03,Water in Basement Complaint,1
2019-01-04,Abandoned Vehicle Complaint,14
2019-01-04,Alley Light Out Complaint,95
2019-01-04,Alley Pothole Complaint,19
2019-01-04,Alley Sewer Inspection Request,2
2019-01-04,Bicycle Request/Complaint,2
2019-01-04,Blue Recycling Cart,51
2019-01-04,Building Violation,18
2019-01-04,Buildings - Plumbing Violation,9
2019-01-04,Cab Feedback,16
2019-01-04,Cable TV Complaint,3
2019-01-04,Check for Leak,1
2019-01-04,City Vehicle Sticker Violation,1
2019-01-04,Commercial Fire Safety Inspection Request,1
2019-01-04,Consumer Fraud Complaint,7
2019-01-04,Inspect Public Way Request,1
2019-01-04,Licensed Pharmaceutical Representative Complaint,1
2019-01-04,Low Water Pressure Complaint,1
2019-01-04,No Building Permit and Construction Violation,1
2019-01-04,Nuisance Animal Complaint,5
2019-01-04,Open Fire Hydrant Complaint,1
2019-01-04,Paid Sick Leave Violation,3
2019-01-04,Pavement Cave-In Inspection Request,4
2019-01-04,Pothole in Street Complaint,22
2019-01-04,Recycling Pick Up,6
2019-01-04,Restaurant Complaint,6
2019-01-04,Ridesharing Complaint,1
2019-01-04,Sewer Cave-In Inspection Request,14
2019-01-04,Sewer Cleaning Inspection Request,14
2019-01-04,Sidewalk Inspection Request,85
2019-01-04,Sign Repair Request - All Other Signs,32
2019-01-04,Stray Animal Complaint,14
2019-01-04,Street Cleaning Request,1
2019-01-04,Street Light On During Day Complaint,4
2019-01-04,Street Light Out Complaint,53
2019-01-04,Street Light Pole Damage Complaint,1
2019-01-04,Street Light Pole Door Missing Complaint,1
2019-01-04,Traffic Signal Out Complaint,6
2019-01-04,Tree Planting Request,2
2019-01-04,Tree Removal Inspection,12
2019-01-04,Tree Trim Request (NO LONGER BEING ACCEPTED),27
2019-01-04,Vacant/Abandoned Building Complaint,1
2019-01-04,Water Lead Test Kit Request,79
2019-01-04,Water Lead Test Visit Request,27
2019-01-04,Water On Street Complaint,2
2019-01-04,Water Quality Concern,1
2019-01-04,Water in Basement Complaint,1
2019-01-05,Abandoned Vehicle Complaint,13
2019-01-05,Alley Light Out Complaint,27
2019-01-05,Alley Pothole Complaint,3
2019-01-05,Bicycle Request/Complaint,2
2019-01-05,Blue Recycling Cart,19
2019-01-05,Building Violation,4
2019-01-05,Buildings - Plumbing Violation,7
2019-01-05,Cab Feedback,11
2019-01-05,City Vehicle Sticker Violation,2
2019-01-05,Inspect Public Way Request,2
2019-01-05,Nuisance Animal Complaint,6
2019-01-05,Pavement Cave-In Inspection Request,2
2019-01-05,Pet Wellness Check Request,1
2019-01-05,Pothole in Street Complaint,8
2019-01-05,Restaurant Complaint,4
2019-01-05,Ridesharing Complaint,2
2019-01-05,Sewer Cave-In Inspection Request,2
2019-01-05,Sewer Cleaning Inspection Request,4
2019-01-05,Sidewalk Inspection Request,66
2019-01-05,Sign Repair Request - All Other Signs,23
2019-01-05,Stray Animal Complaint,3
2019-01-05,Street Light On During Day Complaint,3
2019-01-05,Street Light Out Complaint,32
2019-01-05,Street Light Pole Door Missing Complaint,2
2019-01-05,Traffic Signal Out Complaint,9
2019-01-05,Tree Planting Request,2
2019-01-05,Tree Removal Inspection,10
2019-01-05,Tree Trim Request (NO LONGER BEING ACCEPTED),20
2019-01-05,Vacant/Abandoned Building Complaint,2
2019-01-05,Water Lead Test Kit Request,45
2019-01-05,Water Lead Test Visit Request,9
2019-01-05,Water On Street Complaint,1
2019-01-05,Water Quality Concern,2
2019-01-05,Water in Basement Complaint,1
2019-01-06,Abandoned Vehicle Complaint,7
2019-01-06,Alley Light Out Complaint,36
2019-01-06,Alley Pothole Complaint,3
2019-01-06,Blue Recycling Cart,9
2019-01-06,Building Violation,5
2019-01-06,Buildings - Plumbing Violation,3
2019-01-06,Cab Feedback,10
2019-01-06,City Vehicle Sticker Violation,1
2019-01-06,Clean Vacant Lot Request,1
2019-01-06,Consumer Fraud Complaint,2
2019-01-06,Inaccurate Fuel Pump Complaint,1
2019-01-06,No Building Permit and Construction Violation,1
2019-01-06,Nuisance Animal Complaint,3
2019-01-06,Pet Wellness Check Request,2
2019-01-06,Pothole in Street Complaint,6
2019-01-06,Recycling Pick Up,1
2019-01-06,Restaurant Complaint,10
2019-01-06,Ridesharing Complaint,3
2019-01-06,Sanitation Code Violation,1
2019-01-06,Sewer Cave-In Inspection Request,2
2019-01-06,Sewer Cleaning Inspection Request,2
2019-01-06,Sidewalk Inspection Request,44
2019-01-06,Sign Repair Request - All Other Signs,16
2019-01-06,Stray Animal Complaint,4
2019-01-06,Street Light On During Day Complaint,4
2019-01-06,Street Light Out Complaint,26
2019-01-06,Street Light Pole Door Missing Complaint,1
2019-01-06,Traffic Signal Out Complaint,6
2019-01-06,Tree Planting Request,7
2019-01-06,Tree Removal Inspection,3
2019-01-06,Tree Trim Request (NO LONGER BEING ACCEPTED),9
2019-01-06,Vacant/Abandoned Building Complaint,4
2019-01-06,Water Lead Test Kit Request,36
2019-01-06,Water Lead Test Visit Request,3
2019-01-06,Water On Street Complaint,1
2019-01-07,Abandoned Vehicle Complaint,31
2019-01-07,Alley Light Out Complaint,110
2019-01-07,Alley Pothole Complaint,25
2019-01-07,Alley Sewer Inspection Request,3
2019-01-07,Bicycle Request/Complaint,1
2019-01-07,Blue Recycling Cart,46
2019-01-07,Building Violation,12
2019-01-07,Buildings - Plumbing Violation,10
2019-01-07,Cab Feedback,10
2019-01-07,Check for Leak,1
2019-01-07,City Vehicle Sticker Violation,2
2019-01-07,Clean Vacant Lot Request,1
2019-01-07,Consumer Fraud Complaint,5
2019-01-07,Garbage Cart Maintenance,1
2019-01-07,Inspect Public Way Request,3
2019-01-07,Low Water Pressure Complaint,2
2019-01-07,Nuisance Animal Complaint,3
2019-01-07,Pet Wellness Check Request,1
2019-01-07,Pothole in Street Complaint,19
2019-01-07,Public Vehicle Complaint,1
2019-01-07,Recycling Inspection Request,1
2019-01-07,Recycling Pick Up,4
2019-01-07,Restaurant Complaint,10
2019-01-07,Ridesharing Complaint,1
2019-01-07,Sanitation Code Violation,1
2019-01-07,Sewer Cave-In Inspection Request,6
2019-01-07,Sewer Cleaning Inspection Request,16
2019-01-07,Sidewalk Inspection Request,277
2019-01-07,Sign Repair Request - All Other Signs,37
2019-01-07,Stray Animal Complaint,6
2019-01-07,Street Light On During Day Complaint,1
2019-01-07,Street Light Out Complaint,58
2019-01-07,Street Light Pole Door Missing Complaint,3
2019-01-07,Traffic Signal Out Complaint,13
2019-01-07,Tree Planting Request,18
2019-01-07,Tree Removal Inspection,25
2019-01-07,Tree Trim Request (NO LONGER BEING ACCEPTED),30
2019-01-07,Vacant/Abandoned Building Complaint,7
2019-01-07,Water Lead Test Kit Request,68
2019-01-07,Water Lead Test Visit Request,25
2019-01-07,Water On Street Complaint,8
2019-01-07,Water Quality Concern,1
2019-01-08,Abandoned Vehicle Complaint,15
2019-01-08,Alley Light Out Complaint,108
2019-01-08,Alley Pothole Complaint,25
2019-01-08,Bee/Wasp Removal,1
2019-01-08,Bicycle Request/Complaint,2
2019-01-08,Blue Recycling Cart,43
2019-01-08,Building Violation,18
2019-01-08,Buildings - Plumbing Violation,7
2019-01-08,Cab Feedback,11
2019-01-08,Check for Leak,1
2019-01-08,City Vehicle Sticker Violation,1
2019-01-08,Consumer Fraud Complaint,6
2019-01-08,Garbage Cart Maintenance,1
2019-01-08,Inspect Public Way Request,5
2019-01-08,Low Water Pressure Complaint,2
2019-01-08,No Building Permit and Construction Violation,1
2019-01-08,Nuisance Animal Complaint,3
2019-01-08,Open Fire Hydrant Complaint,1
2019-01-08,Pavement Cave-In Inspection Request,5
2019-01-08,Pothole in Street Complaint,32
2019-01-08,Recycling Pick Up,1
2019-01-08,Restaurant Complaint,11
2019-01-08,Ridesharing Complaint,1
2019-01-08,Sewer Cave-In Inspection Request,14
2019-01-08,Sewer Cleaning Inspection Request,28
2019-01-08,Sidewalk Inspection Request,2766
2019-01-08,Sign Repair Request - All Other Signs,42
