sr_type,n
311 INFORMATION ONLY CALL,5123099
Aircraft Noise Complaint,2557395
Graffiti Removal Request,711254
Pothole in Street Complaint,423707
Street Light Out Complaint,397564
Garbage Cart Maintenance,386878
Rodent Baiting/Rat Complaint,379936
Abandoned Vehicle Complaint,330392
Tree Trim Request (NO LONGER BEING ACCEPTED),299331
Tree Debris Clean-Up Request,223136
Weed Removal Request,197935
Traffic Signal Out Complaint,186347
Tree Emergency,175956
Building Violation,167146
Sign Repair Request - All Other Signs,156251
Blue Recycling Cart,154049
Tree Removal Inspection,146329
Water Lead Test Kit Request,117801
Sanitation Code Violation,112748
Dead Animal Pick-Up Request,108842
Yard Waste Pick-Up Request,96633
Fly Dumping Complaint,96099
Tree Planting Request,92109
Stray Animal Complaint,87921
Alley Light Out Complaint,87754
Sewer Cleaning Inspection Request,84036
Water On Street Complaint,80707
Alley Pothole Complaint,79899
Check for Leak,76153
Sidewalk Inspection Request,70249
Water in Basement Complaint,69932
Report an Injured Animal,64125
Inspect Public Way Request,64109
Missed Garbage Pick-Up Complaint,62514
Buildings - Plumbing Violation,58166
Open Fire Hydrant Complaint,52710
Recycling Pick Up,50133
Finance Parking Code Enforcement Review,47374
Vicious Animal Complaint,47045
Ice and Snow Removal Request,46803
Vacant/Abandoned Building Complaint,46097
Sewer Cave-In Inspection Request,43857
Nuisance Animal Complaint,43090
Clean Vacant Lot Request,39417
No Building Permit and Construction Violation,39242
Street Cleaning Request,38350
Sign Repair Request - Stop Sign,37597
Street Light Pole Damage Complaint,35907
Snow – Uncleared Sidewalk Complaint,35311
Business Complaints,33004
No Water Complaint,29349
Cab Feedback,26361
City Vehicle Sticker Violation,25074
Pet Wellness Check Request,23743
Restaurant Complaint,23716
E-Scooter Parking Complaint,23494
Sign Repair Request - One Way Sign,17565
Water Lead Test Visit Request,17409
Snow - Object/Dibs Removal Request,16916
Low Water Pressure Complaint,15803
Shared Cost Sidewalk Program Request,15650
Divvy Bike Parking Complaint,15149
Coyote Interaction Complaint,12283
Alley Sewer Inspection Request,11918
Vehicle Parked in Bike Lane Complaint,11342
Consumer Fraud Complaint,10870
Street Light On During Day Complaint,10197
Wire Basket Request,8757
Street Light Pole Door Missing Complaint,6885
Water Quality Concern,6211
Bee/Wasp Removal,6034
Bicycle Request/Complaint,5697
Dead Bird,5649
Consumer Retail Business Complaint,5538
Sign Repair Request - Do Not Enter Sign,5303
Porch Inspection Request,4062
Viaduct Light Out Complaint,3278
Shared Housing/Vacation Rental Complaint,2924
Cable TV Complaint,2922
Sidewalk Café/Outdoor Dining Complaint,2624
Recycling Inspection Request,2588
Clean and Green Program Request,2506
Home Buyer Program Info Request,2469
Commercial Fire Safety Inspection Request,2432
Public Vehicle Complaint,2263
Lead Inspection Request,2234
Liquor Establishment Complaint,2127
Animal In Trap Complaint,2106
Protected Bike Lane - Debris Removal,2098
No Air Conditioning,1863
Wage Complaint,1787
Paid Sick Leave Violation,1708
Ridesharing Complaint,1665
Pushcart Food Vendor Complaint,1637
Tobacco - General Complaint,1387
Snow Removal - Protected Bike Lane or Bridge Sidewalk,1033
Tobacco - Sale to Minors Complaint,1012
Bungalow/Vintage Home Information Request,795
Inaccurate Fuel Pump Complaint,706
E-Scooter,694
No Solicitation Complaint,498
Outdated Merchandise Complaint,467
Pavement Cave-In Inspection Request,419
Renters and Foreclosure Complaint,339
Submerged Divvy or Lime Device in the Lake/River,80
Licensed Pharmaceutical Representative Complaint,52
Inaccurate Retail Scales Complaint,46
Extreme Weather Notification,35
Smokeless Tobacco at Sports Event Complaint,34
Petcoke Dust Complaint,7
