day,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
2019-01-01,1.3,-2.7,-0.9,0.9,0.1,0.63,23.8
2019-01-02,0.0,-3.0,-1.7,0.1,0.0,0.14,24.7
2019-01-03,4.4,-5.0,-1.1,0.0,0.0,0.0,26.2
2019-01-04,8.4,-1.0,2.1,0.0,0.0,0.0,24.5
2019-01-05,10.3,-0.9,3.6,0.0,0.0,0.0,22.9
2019-01-06,3.3,1.6,2.6,0.0,0.0,0.0,30.9
2019-01-07,11.6,3.5,7.1,11.4,11.4,0.0,37.5
2019-01-08,7.0,-2.5,3.5,0.2,0.2,0.0,37.3
2019-01-09,-4.0,-7.4,-6.0,0.0,0.0,0.0,33.4
2019-01-10,-3.7,-8.7,-6.2,0.0,0.0,0.0,21.9
2019-01-11,0.8,-4.9,-2.4,0.0,0.0,0.0,17.7
2019-01-12,-0.7,-2.5,-1.3,8.6,0.0,6.02,29.8
2019-01-13,-1.1,-2.5,-1.8,1.1,0.0,0.77,28.9
2019-01-14,-1.2,-5.3,-3.3,0.0,0.0,0.0,18.4
2019-01-15,-1.3,-4.4,-2.8,0.0,0.0,0.0,25.4
2019-01-16,0.5,-1.9,-0.7,0.0,0.0,0.0,21.7
2019-01-17,1.9,-2.0,-0.6,0.4,0.0,0.28,14.4
2019-01-18,-0.8,-2.0,-1.4,1.5,0.0,1.05,25.5
2019-01-19,-1.5,-4.9,-3.0,10.2,0.0,7.21,42.8
2019-01-20,-5.9,-13.8,-11.1,0.9,0.0,0.63,34.7
2019-01-21,-12.2,-14.0,-12.9,0.7,0.0,0.56,27.4
2019-01-22,1.3,-12.6,-5.3,3.3,1.4,1.33,29.6
2019-01-23,1.5,-7.5,-1.9,11.6,9.8,1.26,23.6
2019-01-24,-5.5,-14.1,-10.4,0.1,0.1,0.0,30.2
2019-01-25,-14.2,-22.4,-17.6,1.0,0.0,0.7,27.8
2019-01-26,-10.4,-24.1,-15.6,1.7,0.0,1.19,18.5
2019-01-27,-12.5,-19.3,-16.5,0.0,0.0,0.0,21.2
2019-01-28,1.0,-12.3,-5.7,10.8,0.1,7.49,31.5
2019-01-29,-13.4,-21.8,-17.0,0.1,0.0,0.07,35.3
2019-01-30,-22.5,-30.8,-28.0,0.0,0.0,0.0,34.4
2019-01-31,-17.5,-32.5,-25.8,1.5,0.0,1.05,24.8
2019-02-01,-9.6,-17.0,-12.5,0.6,0.1,0.35,18.4
2019-02-02,3.9,-11.2,-1.3,0.0,0.0,0.0,25.3
2019-02-03,8.2,3.8,5.8,0.3,0.3,0.0,26.1
2019-02-04,11.8,0.1,7.4,4.8,4.8,0.0,25.7
